Name,Ticker,Sector,MarketCap,PreviousClose,52WeekHigh,52WeekLow
"Cencora, Inc.",COR,Healthcare,68287668224.0,344.53,361.38,223.92
Centene Corporation,CNC,Healthcare,18075576320.0,36.11,66.81,25.08
"CenterPoint Energy, Inc (Holdin",CNP,Utilities,25422690304.0,38.74,40.5,28.91
"CF Industries Holdings, Inc.",CF,Basic Materials,13824392192.0,84.55,104.45,67.34
Charles River Laboratories Inte,CRL,Healthcare,8163648000.0,177.85,230.02,91.86
Charles Schwab Corporation (The,SCHW,Financial Services,170267574272.0,93.84,99.59,65.88
"Charter Communications, Inc.",CHTR,Communication Services,29255577600.0,220.91,437.06,214.83
Chevron Corporation,CVX,Energy,306726567936.0,153.39,168.96,132.04
"Chipotle Mexican Grill, Inc.",CMG,Consumer Cyclical,42392236032.0,31.74,66.74,31.01
Chubb Limited,CB,Financial Services,111666110464.0,285.65,306.91,252.16
"Church & Dwight Company, Inc.",CHD,Consumer Defensive,20704014336.0,86.6,116.46,81.33
The Cigna Group,CI,Healthcare,69790629888.0,264.66,350.0,239.51
Cincinnati Financial Corporatio,CINF,Financial Services,24942835712.0,157.39,166.9,123.02
Cintas Corporation,CTAS,Industrials,74582433792.0,184.11,229.24,180.39
"Cisco Systems, Inc.",CSCO,Technology,284894691328.0,72.32,74.84,52.11
"Citigroup, Inc.",C,Financial Services,182785933312.0,101.01,105.59,55.51
"Citizens Financial Group, Inc.",CFG,Financial Services,22240942080.0,50.73,55.24,32.6
Clorox Company (The),CLX,Consumer Defensive,13327576064.0,110.42,171.37,107.71
CME Group Inc.,CME,Financial Services,97066246144.0,267.85,290.79,213.94
CMS Energy Corporation,CMS,Utilities,22131654656.0,72.94,76.45,63.97
Coca-Cola Company (The),KO,Consumer Defensive,294122520576.0,68.66,74.38,60.62
Cognizant Technology Solutions ,CTSH,Technology,36097130496.0,72.81,90.82,65.15
"Coinbase Global, Inc.",COIN,Financial Services,86881927168.0,307.32,444.65,142.58
Colgate-Palmolive Company,CL,Consumer Defensive,61974306816.0,76.55,100.18,74.55
Comcast Corporation,CMCSA,Communication Services,101682880512.0,27.44,45.22,25.75
"ConAgra Brands, Inc.",CAG,Consumer Defensive,8158287360.0,17.11,29.46,16.94
ConocoPhillips,COP,Energy,110487683072.0,87.91,115.38,79.88
"Consolidated Edison, Inc.",ED,Utilities,34636988416.0,97.96,114.87,87.28
"Constellation Brands, Inc.",STZ,Consumer Defensive,22889220096.0,129.18,245.31,127.0
Constellation Energy Corporatio,CEG,Utilities,114366988288.0,362.82,412.7,161.35
"The Cooper Companies, Inc.",COO,Healthcare,13812249600.0,69.08,107.84,61.78
"Copart, Inc.",CPRT,Industrials,40576454656.0,42.85,64.38,41.86
Corning Incorporated,GLW,Technology,75173355520.0,85.21,92.57,37.31
"Corpay, Inc.",CPAY,Technology,18577938432.0,261.17,400.81,252.84
"Corteva, Inc.",CTVA,Basic Materials,43048148992.0,62.5,77.41,53.4
"CoStar Group, Inc.",CSGP,Real Estate,29697261568.0,69.79,97.43,63.82
Costco Wholesale Corporation,COST,Consumer Defensive,415538085888.0,940.74,1078.23,871.71
Coterra Energy Inc.,CTRA,Energy,19704272896.0,25.85,29.95,22.33
"CrowdStrike Holdings, Inc.",CRWD,Technology,133563334656.0,533.92,555.81,298.0
Crown Castle Inc.,CCI,Real Estate,39035535360.0,90.32,115.76,84.2
CSX Corporation,CSX,Industrials,65910337536.0,35.84,37.25,26.22
Cummins Inc.,CMI,Industrials,60676833280.0,428.74,449.21,260.02
CVS Health Corporation,CVS,Healthcare,100139180032.0,78.08,85.15,43.56
Danaher Corporation,DHR,Healthcare,149703737344.0,213.83,258.23,171.0
"Darden Restaurants, Inc.",DRI,Consumer Cyclical,21059768320.0,180.22,228.27,159.4
"Datadog, Inc.",DDOG,Technology,54120009728.0,157.51,170.08,81.63
DaVita Inc.,DVA,Healthcare,8593827840.0,119.97,179.6,115.39
"Dayforce, Inc.",DAY,Technology,10969595904.0,68.61,82.69,48.005
Deckers Outdoor Corporation,DECK,Consumer Cyclical,11971480576.0,79.54,223.98,78.91
Deere & Company,DE,Industrials,128483516416.0,468.3,533.78,387.03
Dell Technologies Inc.,DELL,Technology,102788603904.0,154.64,168.08,66.25
"Delta Air Lines, Inc.",DAL,Industrials,38263615488.0,55.65,69.98,34.74
Devon Energy Corporation,DVN,Energy,20808742912.0,32.55,40.54,25.89
"DexCom, Inc.",DXCM,Healthcare,23116263424.0,61.18,93.25,56.45
"Diamondback Energy, Inc.",FANG,Energy,39531540480.0,139.42,186.07,114.0
"Digital Realty Trust, Inc.",DLR,Real Estate,58484588544.0,168.27,198.0,129.95
Dollar General Corporation,DG,Consumer Defensive,22045820928.0,99.77,117.95,66.43
"Dollar Tree, Inc.",DLTR,Consumer Defensive,21350334464.0,102.07,118.06,60.49
"Dominion Energy, Inc.",D,Utilities,50906042368.0,59.32,62.52,48.07
Domino's Pizza Inc,DPZ,Consumer Cyclical,13549961216.0,406.88,500.55,392.89
"DoorDash, Inc.",DASH,Consumer Cyclical,101424594944.0,239.93,285.5,155.4
Dover Corporation,DOV,Industrials,24742438912.0,178.24,222.31,143.04
Dow Inc.,DOW,Basic Materials,16145080320.0,22.59,49.7,20.402
"D.R. Horton, Inc.",DHI,Consumer Cyclical,42791661568.0,145.59,184.55,110.44
DTE Energy Company,DTE,Utilities,27876253696.0,133.44,143.79,115.59
Duke Energy Corporation (Holdin,DUK,Utilities,96281575424.0,123.83,130.03,105.2
"DuPont de Nemours, Inc.",DD,Basic Materials,16493249536.0,37.76,39.855,22.497908
Eastman Chemical Company,EMN,Basic Materials,7035207680.0,60.74,107.5,56.75
"Eaton Corporation, PLC",ETN,Industrials,151400710144.0,377.72,399.56,231.85
eBay Inc.,EBAY,Consumer Cyclical,36510302208.0,81.68,101.15,58.71
Ecolab Inc.,ECL,Basic Materials,73056387072.0,258.66,286.04,221.62
Edison International,EIX,Utilities,21857828864.0,55.7,88.65,47.73
Edwards Lifesciences Corporatio,EW,Healthcare,48682332160.0,84.15,87.09,64.89
Electronic Arts Inc.,EA,Communication Services,50085425152.0,200.78,203.75,115.21
"Elevance Health, Inc.",ELV,Healthcare,70587473920.0,316.62,458.75,273.71
"EMCOR Group, Inc.",EME,Industrials,30220988416.0,654.5,778.64,320.89
Emerson Electric Company,EMR,Industrials,74998726656.0,137.74,150.27,90.06
Entergy Corporation,ETR,Utilities,43085434880.0,96.23,98.58,72.17
"EOG Resources, Inc.",EOG,Energy,57643253760.0,105.26,138.18,102.52
"EPAM Systems, Inc.",EPAM,Technology,8953834496.0,158.45,269.0,138.15
EQT Corporation,EQT,Energy,35141214208.0,55.685,61.02,38.73
"Equifax, Inc.",EFX,Industrials,25445720064.0,208.46,281.07,199.98
"Equinix, Inc.",EQIX,Real Estate,80700366848.0,829.91,994.03,701.41
Equity Residential,EQR,Real Estate,23447924736.0,59.38,78.32,58.38
Erie Indemnity Company,ERIE,Financial Services,15080555520.0,289.42,456.93,279.78
"Essex Property Trust, Inc.",ESS,Real Estate,18028251136.0,256.56,316.29,243.25
"Estee Lauder Companies, Inc. (T",EL,Consumer Defensive,32955303936.0,92.88,104.53,48.37
"Everest Group, Ltd.",EG,Financial Services,13587876864.0,317.69,392.78,302.44
"Evergy, Inc.",EVRG,Utilities,17725411328.0,77.04,79.32,59.67
Eversource Energy (D/B/A),ES,Utilities,27128518656.0,73.82,75.25,52.28
Exelon Corporation,EXC,Utilities,46636163072.0,46.38,48.51,35.94
Expand Energy Corporation,EXE,Energy,26440409088.0,110.05,123.345,89.21
"Expedia Group, Inc.",EXPE,Consumer Cyclical,26593902592.0,212.13,240.98,130.01
Expeditors International of Was,EXPD,Industrials,18503333888.0,135.73,140.71,100.47
Extra Space Storage Inc,EXR,Real Estate,29469976576.0,131.42,175.58,121.03
Exxon Mobil Corporation,XOM,Energy,482319368192.0,114.14,123.21,97.8
"F5, Inc.",FFIV,Technology,14362450944.0,241.38,346.0,227.04
FactSet Research Systems Inc.,FDS,Financial Services,9772440576.0,264.58,499.87,258.15
Fair Isaac Corporation,FICO,Technology,39105077248.0,1606.1,2402.52,1300.0
Fastenal Company,FAST,Industrials,47896051712.0,41.3,50.63,35.305
Federal Realty Investment Trust,FRT,Real Estate,8350086656.0,96.06,118.09,80.65
FedEx Corporation,FDX,Industrials,60652347392.0,251.88,308.53,194.3
Fidelity National Information S,FIS,Technology,33745655808.0,63.15,89.57,59.51
Fifth Third Bancorp,FITB,Financial Services,28121094144.0,42.15,49.07,32.25
"First Solar, Inc.",FSLR,Technology,30104227840.0,262.7,281.55,116.56
FirstEnergy Corp.,FE,Utilities,26419533824.0,46.15,48.2,37.58
"Fiserv, Inc.",FI,Technology,34556985344.0,64.45,238.59,63.5
Ford Motor Company,F,Consumer Cyclical,52515692544.0,12.79,13.97,8.44
"Fortinet, Inc.",FTNT,Technology,65439121408.0,85.22,114.82,70.12
Fortive Corporation,FTV,Technology,16067973120.0,50.34,62.788242,45.504898
Fox Corporation,FOXA,Communication Services,27335716864.0,64.53,66.56,44.15
Fox Corporation,FOX,Communication Services,27287001088.0,58.15,59.99,41.14
"Franklin Resources, Inc.",BEN,Financial Services,11861020672.0,22.59,26.08,16.25
"Freeport-McMoRan, Inc.",FCX,Basic Materials,57897590784.0,39.42,49.21,27.66
Garmin Ltd.,GRMN,Technology,39309385728.0,205.45,261.69,169.26
"Gartner, Inc.",IT,Technology,17059939328.0,227.17,584.01,223.23
GE Aerospace,GE,Industrials,323126394880.0,304.2,316.67,159.36
GE HealthCare Technologies Inc.,GEHC,Healthcare,34382770176.0,74.3,94.8,57.65
GE Vernova Inc.,GEV,Industrials,153202458624.0,547.96,677.29,252.25
Gen Digital Inc.,GEN,Technology,15898661888.0,25.87,32.22,22.74
Generac Holdlings Inc.,GNRC,Industrials,9382996992.0,156.59,203.25,99.5
General Dynamics Corporation,GD,Industrials,92878217216.0,343.47,360.5,239.2
"General Mills, Inc.",GIS,Consumer Defensive,24673177600.0,46.38,68.74,45.805
General Motors Company,GM,Consumer Cyclical,64330117120.0,66.87,70.24,41.6
Genuine Parts Company,GPC,Consumer Cyclical,17288652800.0,122.69,143.48,104.01
"Gilead Sciences, Inc.",GILD,Healthcare,153206915072.0,123.0,124.61,86.08
Global Payments Inc.,GPN,Industrials,18809286656.0,79.96,120.0,65.93
Globe Life Inc.,GL,Financial Services,10840702976.0,133.38,147.83,100.27
GoDaddy Inc.,GDDY,Technology,17989373952.0,135.18,216.0,125.0
"Goldman Sachs Group, Inc. (The)",GS,Financial Services,238512144384.0,790.83,825.25,439.38
Halliburton Company,HAL,Energy,22837538816.0,26.81,32.57,18.72
"The Hartford Insurance Group, I",HIG,Financial Services,35752226816.0,127.94,135.17,104.93
"Hasbro, Inc.",HAS,Consumer Cyclical,10825279488.0,75.98,82.19,49.0
"HCA Healthcare, Inc.",HCA,Healthcare,108127395840.0,471.68,478.19,289.98
"Healthpeak Properties, Inc.",DOC,Real Estate,12436127744.0,17.54,23.05,16.63
"Henry Schein, Inc.",HSIC,Healthcare,8540447232.0,71.61,82.49,60.56
The Hershey Company,HSY,Consumer Defensive,34449137664.0,165.95,208.03,140.13
Hewlett Packard Enterprise Comp,HPE,Technology,31482081280.0,23.56,26.44,11.965
Hilton Worldwide Holdings Inc.,HLT,Consumer Cyclical,61555802112.0,258.64,279.81,196.04
"Hologic, Inc.",HOLX,Healthcare,16514434048.0,74.11,81.13,51.9
"Home Depot, Inc. (The)",HD,Consumer Cyclical,372583170048.0,383.08,439.37,326.31
Honeywell International Inc.,HON,Industrials,125312139264.0,196.46,228.81244,169.04807
Hormel Foods Corporation,HRL,Consumer Defensive,11844216832.0,21.58,33.8,21.03
"Host Hotels & Resorts, Inc.",HST,Real Estate,11397074944.0,16.05,19.36,12.22
Howmet Aerospace Inc.,HWM,Industrials,83030720512.0,205.02,211.95,105.04
HP Inc.,HPQ,Technology,24942518272.0,25.94,39.8,21.21
Hubbell Inc,HUBB,Industrials,24973250560.0,459.44,484.26,299.425
Humana Inc.,HUM,Healthcare,31497988096.0,281.87,315.35,206.87
Huntington Bancshares Incorpora,HBAN,Financial Services,24027346944.0,15.27,18.45,11.92
"Huntington Ingalls Industries, ",HII,Industrials,12026125312.0,315.9,330.0,158.88
International Business Machines,IBM,Technology,286795464704.0,300.85,319.35,204.07
IDEX Corporation,IEX,Industrials,12670138368.0,167.86,238.22,153.36
"IDEXX Laboratories, Inc.",IDXX,Healthcare,57370779648.0,722.12,735.0,356.14
Illinois Tool Works Inc.,ITW,Industrials,71225352192.0,244.92,279.13,214.66
Incyte Corporation,INCY,Healthcare,20882845696.0,102.92,106.47,53.56
Ingersoll Rand Inc.,IR,Industrials,31284842496.0,77.24,106.03,65.61
Insulet Corporation,PODD,Healthcare,22237706240.0,320.27,353.5,230.05
Intel Corporation,INTC,Technology,183324196864.0,37.03,42.48,17.67
"Interactive Brokers Group, Inc.",IBKR,Financial Services,122276601856.0,70.69,73.35,32.82
Intercontinental Exchange Inc.,ICE,Financial Services,83702210560.0,146.98,189.35,142.29
International Flavors & Fragran,IFF,Basic Materials,16421594112.0,61.49,94.99,59.14
International Paper Company,IP,Consumer Cyclical,19073351680.0,36.56,60.36,35.86
"Interpublic Group of Companies,",IPG,Communication Services,9229913088.0,25.27,33.05,22.51
Intuit Inc.,INTU,Technology,182907224064.0,660.42,813.7,532.65
"Intuitive Surgical, Inc.",ISRG,Healthcare,195146530816.0,538.82,616.0,425.0
Invesco Ltd,IVZ,Financial Services,10435368960.0,23.24,24.75,11.6
Invitation Homes Inc.,INVH,Real Estate,17449631744.0,28.62,35.799,27.38
"IQVIA Holdings, Inc.",IQV,Healthcare,35968212992.0,210.96,225.91,134.65
Iron Mountain Incorporated (Del,IRM,Real Estate,29676591104.0,103.32,125.38,72.33
"J.B. Hunt Transport Services, I",JBHT,Industrials,16308045824.0,172.64,200.4,122.79
Jabil Inc.,JBL,Technology,23303358464.0,209.22,237.14,108.66
"Jack Henry & Associates, Inc.",JKHY,Technology,11616622592.0,152.42,196.0,144.12
Jacobs Solutions Inc.,J,Industrials,18647689216.0,154.57,168.44,105.178215
Johnson & Johnson,JNJ,Healthcare,449670840320.0,186.86,194.48,140.68
Johnson Controls International ,JCI,Industrials,79442386944.0,111.04,123.05,68.03
JP Morgan Chase & Co.,JPM,Financial Services,851517767680.0,309.25,318.01,202.16
Kellanova,K,Consumer Defensive,28932337664.0,83.19,83.42,76.48
Kenvue Inc.,KVUE,Consumer Defensive,31131785216.0,15.97,25.17,14.02
Keurig Dr Pepper Inc.,KDP,Consumer Defensive,36226621440.0,26.46,36.12,25.03
KeyCorp,KEY,Financial Services,19487791104.0,17.31,20.04,12.73
Keysight Technologies Inc.,KEYS,Technology,32045176832.0,179.1,187.12,121.43
Kimberly-Clark Corporation,KMB,Consumer Defensive,33172568064.0,100.64,150.45,99.28
Kimco Realty Corporation (HC),KIM,Real Estate,13852004352.0,20.44,25.83,17.93
"Kinder Morgan, Inc.",KMI,Energy,57943883776.0,25.84,31.48,23.94
KKR & Co. Inc.,KKR,Financial Services,110709456896.0,118.29,170.4,86.15
KLA Corporation,KLAC,Technology,162820063232.0,1193.49,1284.47,551.33
The Kraft Heinz Company,KHC,Consumer Defensive,28674056192.0,24.17,34.08,23.895
Kroger Company (The),KR,Consumer Defensive,41964097536.0,63.76,74.9,57.08
"L3Harris Technologies, Inc.",LHX,Industrials,54003089408.0,291.12,308.12,193.09
Labcorp Holdings Inc.,LH,Healthcare,20876292096.0,252.33,293.72,209.38
Lam Research Corporation,LRCX,Technology,209135271936.0,155.78,166.92,56.32
"Lamb Weston Holdings, Inc.",LW,Consumer Defensive,8761090048.0,62.01,83.981,47.87
Las Vegas Sands Corp.,LVS,Consumer Cyclical,42511953920.0,61.28,63.055,30.18
"Leidos Holdings, Inc.",LDOS,Technology,25079621632.0,199.55,205.77,123.62
Lennar Corporation,LEN,Consumer Cyclical,30712571904.0,121.65,174.36592,98.42
"Lennox International, Inc.",LII,Industrials,17179175936.0,492.16,689.44,479.4
Eli Lilly and Company,LLY,Healthcare,835808788480.0,906.86,955.41,623.78
Linde plc,LIN,Basic Materials,194820440064.0,417.94,486.38,408.65
"Live Nation Entertainment, Inc.",LYV,Communication Services,31452436480.0,150.75,175.25,112.88
LKQ Corporation,LKQ,Consumer Cyclical,7873513984.0,30.4,44.82,28.42
Lockheed Martin Corporation,LMT,Industrials,110203199488.0,484.98,576.43,410.11
Loews Corporation,L,Financial Services,20931399680.0,100.64,103.52,78.98
"Lowe's Companies, Inc.",LOW,Consumer Cyclical,131233021952.0,237.76,280.64,206.39
lululemon athletica inc.,LULU,Consumer Cyclical,19924758528.0,160.66,423.32,159.25
LyondellBasell Industries NV,LYB,Basic Materials,14236440576.0,44.44,88.2,44.04
M&T Bank Corporation,MTB,Financial Services,28306767872.0,180.9,225.7,150.75
Marathon Petroleum Corporation,MPC,Energy,56651145216.0,183.78,201.61,115.1
Marriott International,MAR,Consumer Cyclical,76944719872.0,272.24,307.52,205.4
"Marsh & McLennan Companies, Inc",MMC,Financial Services,87808966656.0,180.5,248.0,174.18
"Martin Marietta Materials, Inc.",MLM,Basic Materials,36760129536.0,625.26,665.18,441.95
Masco Corporation,MAS,Industrials,13255134208.0,63.0,83.06,56.55
Mastercard Incorporated,MA,Financial Services,498095816704.0,552.75,601.77,465.59
"Match Group, Inc.",MTCH,Communication Services,7998280704.0,31.55,39.2,26.39
"McCormick & Company, Incorporat",MKC,Consumer Defensive,17380933632.0,64.02,86.24,63.15
McDonald's Corporation,MCD,Consumer Cyclical,219504721920.0,299.21,326.32,276.53
McKesson Corporation,MCK,Healthcare,105834323968.0,841.67,863.255,530.39
Medtronic plc.,MDT,Healthcare,115986972672.0,90.42,99.37,79.29
"Merck & Company, Inc.",MRK,Healthcare,212074283008.0,83.86,105.07,73.31
"Meta Platforms, Inc.",META,Communication Services,1611070832640.0,627.32,796.25,479.8
"MetLife, Inc.",MET,Financial Services,52779790336.0,79.46,89.05,65.21
"Mettler-Toledo International, I",MTD,Healthcare,29645109248.0,1420.35,1454.68,946.69
MGM Resorts International,MGM,Consumer Cyclical,8808274944.0,31.87,41.32,25.3
Microchip Technology Incorporat,MCHP,Technology,33330616320.0,59.5,77.2,34.13
"Micron Technology, Inc.",MU,Technology,268673466368.0,218.03,239.88,61.54
Microsoft Corporation,MSFT,Technology,3771411464192.0,514.33,555.45,344.79
Mid-America Apartment Communiti,MAA,Real Estate,15490243584.0,129.09,173.38,125.75
"Moderna, Inc.",MRNA,Healthcare,9217705984.0,23.75,56.695,23.15
"Mohawk Industries, Inc.",MHK,Consumer Cyclical,6837442560.0,110.65,148.57,96.24
Molina Healthcare Inc,MOH,Healthcare,7703575040.0,151.69,359.97,146.13
Molson Coors Beverage Company,TAP,Consumer Defensive,8995356672.0,43.67,64.66,42.94
"Mondelez International, Inc.",MDLZ,Consumer Defensive,72253628416.0,56.08,71.15,53.95
"Monolithic Power Systems, Inc.",MPWR,Technology,48350515200.0,957.87,1123.38,438.86
Monster Beverage Corporation,MNST,Consumer Defensive,66162774016.0,66.87,70.72,45.7
Moody's Corporation,MCO,Financial Services,87016382464.0,487.46,531.93,378.71
Morgan Stanley,MS,Financial Services,263571046400.0,164.01,167.13,94.33
Mosaic Company (The),MOS,Basic Materials,8315312640.0,26.55,38.23,22.36
"Motorola Solutions, Inc.",MSI,Technology,65845850112.0,394.24,507.82,388.9
MSCI Inc.,MSCI,Financial Services,43031662592.0,574.9,642.45,486.74
"Nasdaq, Inc.",NDAQ,Financial Services,48991412224.0,85.87,97.63,64.84
"NetApp, Inc.",NTAP,Technology,23174696960.0,113.34,135.45,71.84
"Netflix, Inc.",NFLX,Communication Services,464207249408.0,1092.96,1341.15,757.38
Newmont Corporation,NEM,Basic Materials,89167093760.0,78.9,98.58,36.86
News Corporation,NWSA,Communication Services,15032581120.0,25.8,31.61,23.38
News Corporation,NWS,Communication Services,15143628800.0,29.07,35.58,26.25
"NextEra Energy, Inc.",NEE,Utilities,171044110336.0,81.69,87.53,61.72
"Nike, Inc.",NKE,Consumer Cyclical,91848335360.0,61.23,82.44,52.28
NiSource Inc,NI,Utilities,20259086336.0,42.87,44.88,34.82
Nordson Corporation,NDSN,Industrials,13159674880.0,230.32,266.86,165.03
Norfolk Southern Corporation,NSC,Industrials,63227662336.0,283.8,302.24,201.63
